Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066006,1922,02,56.8,Y
IDCJAC0001,066006,1922,03,49.9,Y
IDCJAC0001,066006,1922,04,38.3,Y
IDCJAC0001,066006,1922,05,106.7,Y
IDCJAC0001,066006,1922,06,43.0,Y
IDCJAC0001,066006,1922,07,291.4,Y
IDCJAC0001,066006,1922,08,52.4,Y
IDCJAC0001,066006,1922,09,105.9,Y
IDCJAC0001,066006,1922,10,87.7,Y
IDCJAC0001,066006,1922,11,10.9,Y
IDCJAC0001,066006,1922,12,38.4,Y
IDCJAC0001,066006,1923,01,43.2,Y
IDCJAC0001,066006,1923,02,19.5,Y
IDCJAC0001,066006,1923,03,51.8,Y
IDCJAC0001,066006,1923,04,257.2,Y
IDCJAC0001,066006,1923,05,26.0,Y
IDCJAC0001,066006,1923,06,102.0,Y
IDCJAC0001,066006,1923,07,161.2,Y
IDCJAC0001,066006,1923,08,105.8,Y
IDCJAC0001,066006,1923,09,63.7,Y
IDCJAC0001,066006,1923,10,34.0,Y
IDCJAC0001,066006,1923,11,41.5,Y
IDCJAC0001,066006,1923,12,35.0,Y
IDCJAC0001,066006,1924,01,93.7,Y
IDCJAC0001,066006,1924,02,57.8,Y
IDCJAC0001,066006,1924,03,96.5,Y
IDCJAC0001,066006,1924,04,168.7,Y
IDCJAC0001,066006,1924,05,83.0,Y
IDCJAC0001,066006,1924,06,50.7,Y
IDCJAC0001,066006,1924,07,41.2,Y
IDCJAC0001,066006,1924,08,65.7,Y
IDCJAC0001,066006,1924,09,74.9,Y
IDCJAC0001,066006,1924,10,32.8,Y
IDCJAC0001,066006,1924,11,82.8,Y
IDCJAC0001,066006,1924,12,66.2,Y
IDCJAC0001,066006,1925,01,114.3,Y
IDCJAC0001,066006,1925,02,48.3,Y
IDCJAC0001,066006,1925,03,68.5,Y
IDCJAC0001,066006,1925,04,54.2,Y
IDCJAC0001,066006,1925,05,536.6,Y
IDCJAC0001,066006,1925,06,171.0,Y
IDCJAC0001,066006,1925,07,5.4,Y
IDCJAC0001,066006,1925,08,96.7,Y
IDCJAC0001,066006,1925,09,15.7,Y
IDCJAC0001,066006,1925,10,16.6,Y
IDCJAC0001,066006,1925,11,99.0,Y
