"Product.code","Station.number","Year","Month","Rainfall","Quality"
"IDCJAC0001",66006,1990,7,75.7,"Y"
"IDCJAC0001",66006,1990,8,201,"Y"
"IDCJAC0001",66006,1990,9,202.1,"Y"
"IDCJAC0001",66006,1990,10,53.6,"Y"
"IDCJAC0001",66006,1990,11,29.8,"Y"
"IDCJAC0001",66006,1990,12,42,"Y"
"IDCJAC0001",66006,1991,1,99.6,"Y"
"IDCJAC0001",66006,1991,2,51.3,"Y"
"IDCJAC0001",66006,1991,3,17.1,"Y"
"IDCJAC0001",66006,1991,4,47.4,"Y"
"IDCJAC0001",66006,1991,5,137.2,"Y"
"IDCJAC0001",66006,1991,6,347.1,"Y"
"IDCJAC0001",66006,1991,7,105.3,"Y"
"IDCJAC0001",66006,1991,8,4.6,"Y"
"IDCJAC0001",66006,1991,9,18.7,"Y"
"IDCJAC0001",66006,1991,10,11.9,"Y"
"IDCJAC0001",66006,1991,11,121.7,"Y"
"IDCJAC0001",66006,1991,12,185.1,"Y"
"IDCJAC0001",66006,1992,1,74.5,"Y"
"IDCJAC0001",66006,1992,2,490.2,"Y"
"IDCJAC0001",66006,1992,3,86.9,"Y"
"IDCJAC0001",66006,1992,4,67.5,"Y"
"IDCJAC0001",66006,1992,5,73.6,"Y"
"IDCJAC0001",66006,1992,6,97.3,"Y"
"IDCJAC0001",66006,1992,7,15.8,"Y"
"IDCJAC0001",66006,1992,8,34.2,"Y"
"IDCJAC0001",66006,1992,9,25.3,"Y"
"IDCJAC0001",66006,1992,10,87.7,"Y"
"IDCJAC0001",66006,1992,11,147.1,"Y"
"IDCJAC0001",66006,1992,12,205.4,"Y"
"IDCJAC0001",66006,1993,1,65.5,"Y"
"IDCJAC0001",66006,1993,2,75.8,"Y"
"IDCJAC0001",66006,1993,3,92.1,"Y"
"IDCJAC0001",66006,1993,4,62.8,"Y"
"IDCJAC0001",66006,1993,5,18.8,"Y"
"IDCJAC0001",66006,1993,6,60.8,"Y"
"IDCJAC0001",66006,1993,7,99.8,"Y"
"IDCJAC0001",66006,1993,8,66.6,"Y"
"IDCJAC0001",66006,1993,9,169.3,"Y"
"IDCJAC0001",66006,1993,10,50.5,"Y"
"IDCJAC0001",66006,1993,11,94.2,"Y"
"IDCJAC0001",66006,1993,12,32.2,"Y"
"IDCJAC0001",66006,1994,1,42,"Y"
"IDCJAC0001",66006,1994,2,87.6,"Y"
"IDCJAC0001",66006,1994,3,171,"Y"
"IDCJAC0001",66006,1994,4,122,"Y"
"IDCJAC0001",66006,1994,5,40.1,"Y"
"IDCJAC0001",66006,1994,6,70.1,"Y"
"IDCJAC0001",66006,1994,7,79.9,"Y"
"IDCJAC0001",66006,1994,8,35.8,"Y"
"IDCJAC0001",66006,1994,9,28,"Y"
"IDCJAC0001",66006,1994,10,49.2,"Y"
"IDCJAC0001",66006,1994,11,53.5,"Y"
"IDCJAC0001",66006,1994,12,69.1,"Y"
"IDCJAC0001",66006,1995,1,101.8,"Y"
"IDCJAC0001",66006,1995,2,61.2,"Y"
"IDCJAC0001",66006,1995,3,176.9,"Y"
"IDCJAC0001",66006,1995,4,41.7,"Y"
"IDCJAC0001",66006,1995,5,180.9,"Y"
"IDCJAC0001",66006,1995,6,114.6,"Y"
"IDCJAC0001",66006,1995,7,1.5,"Y"
